"Best"	"Worst"	"Median"	"Mean"
"32.768000000000065"	"0.0"	"0.0"	"2.0632910499999992"
"34.885010000000015"	"0.0"	"0.3110399999999999"	"5.315499600000001"
"47.22428000000005"	"0.0"	"1.024000000000002"	"6.831116400000011"
"47.628000000000064"	"0.0"	"1.024000000000002"	"7.832046000000015"
"51.95313000000009"	"0.0"	"3.10399"	"10.47977160000001"
"93.0"	"0.0"	"3.125"	"11.757271200000009"
"96.0"	"0.0"	"3.5435900000000005"	"13.073932799999998"
"98.0"	"0.0"	"7.589959999999984"	"15.615904799999987"
"97.0"	"0.0"	"7.078349999999986"	"17.644635550000004"
"97.0"	"0.0"	"14.055520000000003"	"21.459648600000026"
"97.0"	"0.0"	"14.79016000000001"	"22.805583900000016"
