"Best"	"Worst"	"Median"	"Mean"
"51.26494000000007"	"0.0"	"0.0"	"2.665115650000003"
"54.04932000000009"	"0.0"	"1.024000000000002"	"6.138985200000007"
"53.02795000000008"	"0.0"	"1.2341000000000018"	"8.39928680000001"
"59.049000000000106"	"0.0"	"2.9359100000000002"	"11.688530600000004"
"59.049000000000106"	"0.0"	"3.125"	"13.723160150000002"
"85.6384"	"0.0"	"2.9359100000000002"	"14.546463150000006"
"88.82343"	"0.0"	"3.0"	"14.95693880000001"
"84.63764000000002"	"0.0"	"3.125"	"16.857350700000005"
"91.59049"	"0.0"	"2.7678300000000005"	"16.04290045"
"88.31441000000001"	"0.0"	"2.7600200000000004"	"15.960391150000003"
"91.96608"	"0.0"	"3.125"	"19.173968850000012"
