"Best"	"MaleElite"	"FemaleElites"
"41.0"	"42.0"	"42.0"
"43.0"	"40.0"	"43.0"
"41.0"	"44.0"	"44.0"
"43.0"	"42.0"	"43.0"
"43.0"	"40.0"	"43.0"
"42.0"	"41.0"	"42.0"
"41.0"	"41.0"	"41.0"
"43.0"	"41.0"	"43.0"
"45.0"	"42.0"	"45.0"
"42.0"	"43.0"	"43.0"
"43.0"	"42.0"	"43.0"
"42.0"	"44.0"	"44.0"
"43.0"	"43.0"	"43.0"
"43.0"	"43.0"	"43.0"
"41.0"	"43.0"	"43.0"
"41.0"	"46.0"	"46.0"
"43.0"	"43.0"	"43.0"
"42.0"	"43.0"	"43.0"
"40.0"	"42.0"	"42.0"
"41.0"	"43.0"	"43.0"
"43.0"	"43.0"	"43.0"
"41.0"	"44.0"	"44.0"
"42.0"	"43.0"	"43.0"
"41.0"	"43.0"	"43.0"
"42.0"	"45.0"	"45.0"
"42.0"	"44.0"	"44.0"
"43.0"	"40.0"	"43.0"
"41.0"	"43.0"	"43.0"
"41.0"	"42.0"	"42.0"
"42.0"	"42.0"	"42.0"
"47.0"	"45.0"	"47.0"
"44.0"	"43.0"	"44.0"
"42.0"	"42.0"	"42.0"
"44.0"	"44.0"	"44.0"
"43.0"	"41.0"	"43.0"
"44.0"	"43.0"	"44.0"
"46.0"	"44.0"	"46.0"
"42.0"	"42.0"	"42.0"
"42.0"	"43.0"	"43.0"
"43.0"	"42.0"	"43.0"
"43.0"	"45.0"	"45.0"
"42.0"	"43.0"	"43.0"
"44.0"	"43.0"	"44.0"
"42.0"	"43.0"	"43.0"
"41.0"	"42.0"	"42.0"
"42.0"	"42.0"	"42.0"
"43.0"	"41.0"	"43.0"
"45.0"	"44.0"	"45.0"
"43.0"	"43.0"	"43.0"
"43.0"	"43.0"	"43.0"
"45.0"	"45.0"	"45.0"
"43.0"	"44.0"	"44.0"
"42.0"	"43.0"	"43.0"
"44.0"	"42.0"	"44.0"
"44.0"	"43.0"	"44.0"
"44.0"	"42.0"	"44.0"
"44.0"	"42.0"	"44.0"
"42.0"	"43.0"	"43.0"
"42.0"	"41.0"	"42.0"
"44.0"	"42.0"	"44.0"
"44.0"	"42.0"	"44.0"
"43.0"	"42.0"	"43.0"
"45.0"	"46.0"	"46.0"
"43.0"	"42.0"	"43.0"
"43.0"	"44.0"	"44.0"
"45.0"	"41.0"	"45.0"
"43.0"	"43.0"	"43.0"
"45.0"	"43.0"	"45.0"
"42.0"	"41.0"	"42.0"
"42.0"	"46.0"	"46.0"
"43.0"	"46.0"	"46.0"
"44.0"	"43.0"	"44.0"
"45.0"	"45.0"	"45.0"
"44.0"	"42.0"	"44.0"
"44.0"	"44.0"	"44.0"
"42.0"	"42.0"	"42.0"
"43.0"	"44.0"	"44.0"
"43.0"	"44.0"	"44.0"
"42.0"	"41.0"	"42.0"
"41.0"	"44.0"	"44.0"
"42.0"	"43.0"	"43.0"
"44.0"	"43.0"	"44.0"
"43.0"	"41.0"	"43.0"
"44.0"	"41.0"	"44.0"
"44.0"	"43.0"	"44.0"
"42.0"	"43.0"	"43.0"
"43.0"	"41.0"	"43.0"
"42.0"	"40.0"	"42.0"
"43.0"	"43.0"	"43.0"
"42.0"	"42.0"	"42.0"
"44.0"	"41.0"	"44.0"
"43.0"	"41.0"	"43.0"
"42.0"	"42.0"	"42.0"
"45.0"	"44.0"	"45.0"
"43.0"	"44.0"	"44.0"
"45.0"	"42.0"	"45.0"
"43.0"	"43.0"	"43.0"
"43.0"	"44.0"	"44.0"
"43.0"	"44.0"	"44.0"
"43.0"	"42.0"	"43.0"
"43.0"	"43.0"	"43.0"
"43.0"	"44.0"	"44.0"
"42.0"	"45.0"	"45.0"
"44.0"	"43.0"	"44.0"
"42.0"	"44.0"	"44.0"
"42.0"	"41.0"	"42.0"
"42.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"42.0"	"42.0"	"42.0"
"45.0"	"43.0"	"45.0"
"42.0"	"45.0"	"45.0"
"43.0"	"43.0"	"43.0"
"41.0"	"43.0"	"43.0"
"42.0"	"43.0"	"43.0"
"42.0"	"42.0"	"42.0"
"44.0"	"44.0"	"44.0"
"43.0"	"45.0"	"45.0"
"42.0"	"42.0"	"42.0"
"43.0"	"43.0"	"43.0"
"44.0"	"43.0"	"44.0"
"42.0"	"44.0"	"44.0"
"44.0"	"43.0"	"44.0"
"41.0"	"43.0"	"43.0"
"41.0"	"42.0"	"42.0"
"44.0"	"41.0"	"44.0"
"43.0"	"43.0"	"43.0"
"43.0"	"43.0"	"43.0"
"43.0"	"43.0"	"43.0"
"43.0"	"43.0"	"43.0"
"42.0"	"43.0"	"43.0"
"43.0"	"44.0"	"44.0"
"42.0"	"43.0"	"43.0"
"43.0"	"42.0"	"43.0"
"41.0"	"42.0"	"42.0"
"42.0"	"44.0"	"44.0"
"43.0"	"45.0"	"45.0"
"43.0"	"42.0"	"43.0"
"42.0"	"44.0"	"44.0"
"43.0"	"43.0"	"43.0"
"45.0"	"44.0"	"45.0"
"43.0"	"43.0"	"43.0"
"43.0"	"42.0"	"43.0"
"41.0"	"44.0"	"44.0"
"43.0"	"43.0"	"43.0"
"42.0"	"43.0"	"43.0"
"45.0"	"43.0"	"45.0"
"44.0"	"44.0"	"44.0"
"42.0"	"43.0"	"43.0"
"43.0"	"45.0"	"45.0"
"42.0"	"42.0"	"42.0"
"43.0"	"43.0"	"43.0"
"44.0"	"44.0"	"44.0"
"43.0"	"44.0"	"44.0"
"43.0"	"43.0"	"43.0"
"42.0"	"43.0"	"43.0"
"43.0"	"42.0"	"43.0"
"45.0"	"44.0"	"45.0"
"43.0"	"43.0"	"43.0"
"44.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"42.0"	"43.0"	"43.0"
"43.0"	"44.0"	"44.0"
"42.0"	"43.0"	"43.0"
"43.0"	"42.0"	"43.0"
"42.0"	"43.0"	"43.0"
"43.0"	"45.0"	"45.0"
"44.0"	"43.0"	"44.0"
"43.0"	"43.0"	"43.0"
"42.0"	"44.0"	"44.0"
"44.0"	"42.0"	"44.0"
"43.0"	"45.0"	"45.0"
"42.0"	"44.0"	"44.0"
"42.0"	"44.0"	"44.0"
"43.0"	"42.0"	"43.0"
"44.0"	"42.0"	"44.0"
"43.0"	"43.0"	"43.0"
"42.0"	"44.0"	"44.0"
"42.0"	"43.0"	"43.0"
"43.0"	"43.0"	"43.0"
"42.0"	"43.0"	"43.0"
"43.0"	"44.0"	"44.0"
"42.0"	"43.0"	"43.0"
"43.0"	"44.0"	"44.0"
"44.0"	"42.0"	"44.0"
"44.0"	"46.0"	"46.0"
"42.0"	"43.0"	"43.0"
"43.0"	"43.0"	"43.0"
"43.0"	"43.0"	"43.0"
"44.0"	"44.0"	"44.0"
"42.0"	"43.0"	"43.0"
"42.0"	"43.0"	"43.0"
"43.0"	"45.0"	"45.0"
"45.0"	"42.0"	"45.0"
"44.0"	"43.0"	"44.0"
"43.0"	"44.0"	"44.0"
"43.0"	"45.0"	"45.0"
"43.0"	"44.0"	"44.0"
"44.0"	"42.0"	"44.0"
"43.0"	"41.0"	"43.0"
"44.0"	"42.0"	"44.0"
"45.0"	"44.0"	"45.0"
"44.0"	"43.0"	"44.0"
"45.0"	"44.0"	"45.0"
"44.0"	"44.0"	"44.0"
"42.0"	"45.0"	"45.0"
"44.0"	"43.0"	"44.0"
"47.0"	"45.0"	"47.0"
"42.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"43.0"	"44.0"
"45.0"	"42.0"	"45.0"
"45.0"	"44.0"	"45.0"
"42.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"43.0"	"45.0"	"45.0"
"44.0"	"43.0"	"44.0"
"43.0"	"44.0"	"44.0"
"43.0"	"44.0"	"44.0"
"45.0"	"44.0"	"45.0"
"44.0"	"43.0"	"44.0"
"44.0"	"46.0"	"46.0"
"43.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"42.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"43.0"	"45.0"	"45.0"
"44.0"	"46.0"	"46.0"
"43.0"	"45.0"	"45.0"
"43.0"	"45.0"	"45.0"
"44.0"	"46.0"	"46.0"
"44.0"	"45.0"	"45.0"
"45.0"	"44.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"43.0"	"43.0"	"43.0"
"45.0"	"42.0"	"45.0"
"43.0"	"43.0"	"43.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"43.0"	"45.0"	"45.0"
"45.0"	"44.0"	"45.0"
"44.0"	"44.0"	"44.0"
"45.0"	"44.0"	"45.0"
"44.0"	"43.0"	"44.0"
"44.0"	"43.0"	"44.0"
"43.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"45.0"	"44.0"	"45.0"
"43.0"	"45.0"	"45.0"
"43.0"	"43.0"	"43.0"
"44.0"	"42.0"	"44.0"
"44.0"	"46.0"	"46.0"
"44.0"	"45.0"	"45.0"
"46.0"	"42.0"	"46.0"
"45.0"	"43.0"	"45.0"
"46.0"	"46.0"	"46.0"
"45.0"	"44.0"	"45.0"
"44.0"	"43.0"	"44.0"
"46.0"	"44.0"	"46.0"
"44.0"	"46.0"	"46.0"
"46.0"	"46.0"	"46.0"
"44.0"	"43.0"	"44.0"
"45.0"	"44.0"	"45.0"
"44.0"	"42.0"	"44.0"
"44.0"	"43.0"	"44.0"
"45.0"	"43.0"	"45.0"
"45.0"	"43.0"	"45.0"
"43.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"43.0"	"45.0"	"45.0"
"45.0"	"43.0"	"45.0"
"45.0"	"43.0"	"45.0"
"43.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"43.0"	"45.0"	"45.0"
"45.0"	"42.0"	"45.0"
"44.0"	"43.0"	"44.0"
"44.0"	"43.0"	"44.0"
"48.0"	"43.0"	"48.0"
"45.0"	"43.0"	"45.0"
"44.0"	"44.0"	"44.0"
"45.0"	"44.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"43.0"	"44.0"
"44.0"	"43.0"	"44.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"45.0"	"43.0"	"45.0"
"46.0"	"44.0"	"46.0"
"44.0"	"44.0"	"44.0"
"45.0"	"44.0"	"45.0"
"44.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"44.0"	"43.0"	"44.0"
"44.0"	"44.0"	"44.0"
"45.0"	"43.0"	"45.0"
"44.0"	"45.0"	"45.0"
"44.0"	"42.0"	"44.0"
"44.0"	"42.0"	"44.0"
"44.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"43.0"	"43.0"	"43.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"46.0"	"46.0"
"43.0"	"44.0"	"44.0"
"45.0"	"44.0"	"45.0"
"45.0"	"46.0"	"46.0"
"43.0"	"44.0"	"44.0"
"45.0"	"45.0"	"45.0"
"43.0"	"43.0"	"43.0"
"43.0"	"45.0"	"45.0"
"45.0"	"44.0"	"45.0"
"44.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"45.0"	"46.0"	"46.0"
"44.0"	"43.0"	"44.0"
"43.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"44.0"	"46.0"	"46.0"
"45.0"	"44.0"	"45.0"
"44.0"	"45.0"	"45.0"
"45.0"	"46.0"	"46.0"
"44.0"	"43.0"	"44.0"
"45.0"	"43.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"45.0"	"43.0"	"45.0"
"45.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"45.0"	"43.0"	"45.0"
"44.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"45.0"	"44.0"	"45.0"
"44.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"44.0"	"46.0"	"46.0"
"45.0"	"44.0"	"45.0"
"43.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"43.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"46.0"	"45.0"	"46.0"
"44.0"	"46.0"	"46.0"
"43.0"	"45.0"	"45.0"
"45.0"	"46.0"	"46.0"
"45.0"	"45.0"	"45.0"
"45.0"	"46.0"	"46.0"
"45.0"	"47.0"	"47.0"
"44.0"	"46.0"	"46.0"
"45.0"	"46.0"	"46.0"
"44.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"45.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"45.0"	"47.0"	"47.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"44.0"	"46.0"	"46.0"
"44.0"	"46.0"	"46.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"46.0"	"45.0"	"46.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"45.0"	"44.0"	"45.0"
"45.0"	"45.0"	"45.0"
"45.0"	"44.0"	"45.0"
"43.0"	"45.0"	"45.0"
"45.0"	"43.0"	"45.0"
"45.0"	"46.0"	"46.0"
"45.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"45.0"	"43.0"	"45.0"
"44.0"	"44.0"	"44.0"
"43.0"	"44.0"	"44.0"
"45.0"	"43.0"	"45.0"
"45.0"	"45.0"	"45.0"
"44.0"	"43.0"	"44.0"
"45.0"	"44.0"	"45.0"
"45.0"	"46.0"	"46.0"
"44.0"	"44.0"	"44.0"
"44.0"	"43.0"	"44.0"
"46.0"	"44.0"	"46.0"
"44.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"43.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"43.0"	"44.0"
"44.0"	"44.0"	"44.0"
"43.0"	"46.0"	"46.0"
"43.0"	"44.0"	"44.0"
"44.0"	"43.0"	"44.0"
"43.0"	"43.0"	"43.0"
"44.0"	"43.0"	"44.0"
"44.0"	"44.0"	"44.0"
"45.0"	"46.0"	"46.0"
"44.0"	"44.0"	"44.0"
"43.0"	"45.0"	"45.0"
"45.0"	"44.0"	"45.0"
"43.0"	"44.0"	"44.0"
"45.0"	"43.0"	"45.0"
"45.0"	"44.0"	"45.0"
"44.0"	"42.0"	"44.0"
"45.0"	"44.0"	"45.0"
"44.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"43.0"	"45.0"	"45.0"
"43.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"45.0"	"44.0"	"45.0"
"44.0"	"44.0"	"44.0"
"45.0"	"44.0"	"45.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"43.0"	"46.0"	"46.0"
"45.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"43.0"	"45.0"	"45.0"
"44.0"	"45.0"	"45.0"
"45.0"	"46.0"	"46.0"
"45.0"	"46.0"	"46.0"
"44.0"	"44.0"	"44.0"
"45.0"	"45.0"	"45.0"
"43.0"	"46.0"	"46.0"
"43.0"	"46.0"	"46.0"
"44.0"	"44.0"	"44.0"
"44.0"	"45.0"	"45.0"
"47.0"	"45.0"	"47.0"
"44.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"43.0"	"45.0"	"45.0"
"44.0"	"46.0"	"46.0"
"45.0"	"46.0"	"46.0"
"46.0"	"46.0"	"46.0"
"45.0"	"45.0"	"45.0"
"46.0"	"46.0"	"46.0"
"45.0"	"46.0"	"46.0"
"45.0"	"45.0"	"45.0"
"46.0"	"46.0"	"46.0"
"45.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"45.0"	"46.0"	"46.0"
"45.0"	"47.0"	"47.0"
"45.0"	"46.0"	"46.0"
"44.0"	"45.0"	"45.0"
"44.0"	"44.0"	"44.0"
"45.0"	"46.0"	"46.0"
"46.0"	"44.0"	"46.0"
"45.0"	"47.0"	"47.0"
"46.0"	"45.0"	"46.0"
"45.0"	"47.0"	"47.0"
"45.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"46.0"	"46.0"	"46.0"
"45.0"	"46.0"	"46.0"
"45.0"	"45.0"	"45.0"
"47.0"	"46.0"	"47.0"
"46.0"	"47.0"	"47.0"
"45.0"	"44.0"	"45.0"
"46.0"	"45.0"	"46.0"
"46.0"	"46.0"	"46.0"
"45.0"	"46.0"	"46.0"
"45.0"	"46.0"	"46.0"
"45.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"46.0"	"45.0"	"46.0"
"46.0"	"43.0"	"46.0"
"45.0"	"44.0"	"45.0"
"47.0"	"45.0"	"47.0"
"46.0"	"45.0"	"46.0"
"45.0"	"44.0"	"45.0"
"48.0"	"43.0"	"48.0"
"45.0"	"45.0"	"45.0"
"45.0"	"46.0"	"46.0"
"48.0"	"45.0"	"48.0"
"46.0"	"45.0"	"46.0"
"46.0"	"44.0"	"46.0"
"46.0"	"45.0"	"46.0"
"45.0"	"44.0"	"45.0"
"47.0"	"44.0"	"47.0"
"47.0"	"45.0"	"47.0"
"46.0"	"44.0"	"46.0"
"45.0"	"44.0"	"45.0"
"45.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"46.0"	"46.0"	"46.0"
"45.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"45.0"	"45.0"	"45.0"
"45.0"	"46.0"	"46.0"
"45.0"	"45.0"	"45.0"
"45.0"	"44.0"	"45.0"
"45.0"	"44.0"	"45.0"
"45.0"	"46.0"	"46.0"
"46.0"	"43.0"	"46.0"
"45.0"	"43.0"	"45.0"
"45.0"	"45.0"	"45.0"
"45.0"	"43.0"	"45.0"
"46.0"	"44.0"	"46.0"
"45.0"	"44.0"	"45.0"
"45.0"	"43.0"	"45.0"
"49.0"	"45.0"	"49.0"
