"Best"	"Worst"	"Median"	"Mean"
"32.768000000000065"	"0.0"	"0.0"	"1.7772199999999987"
"91.0"	"0.0"	"0.23084999999999956"	"4.490581049999999"
"83.0"	"0.0"	"1.024000000000002"	"8.50312080000001"
"88.0"	"0.0"	"2.4444700000000013"	"10.94426630000002"
"90.0"	"0.0"	"3.04096"	"13.691111049999996"
"91.02187"	"0.0"	"1.234100000000002"	"16.88374275"
"98.0"	"0.0"	"3.125"	"20.361106549999985"
"100.0"	"0.0"	"7.708479999999982"	"23.9940855"
"100.0"	"0.0"	"3.125"	"22.340805399999994"
"100.0"	"0.0"	"7.311359999999985"	"26.655090950000016"
"100.0"	"0.0"	"15.160010000000005"	"31.049823700000015"
